                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.84547,                0.72579,                 1.0517,                0.89898,                0.80164,                0.87969,                0.73395,                0.74762,                0.55894,                0.93267,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.86289,                0.73069,                 1.0393,                0.89484,                0.80591,                0.88166,                0.73353,                0.74635,                0.55334,                0.93185,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.87225,                0.73902,                 1.0396,                0.89027,                0.80628,                0.88267,                0.73356,                0.74365,                0.55008,                0.93028,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.83302,                0.71985,                 1.0241,                0.89033,                0.80589,                0.88385,                0.73303,                0.73899,                0.54644,                0.92824,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.83593,                0.72843,                   1.04,                0.89321,                0.80497,                0.88114,                0.73329,                0.73692,                0.54563,                0.92686,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                 0.8195,                0.70832,                 1.0271,                0.87671,                 0.8103,                0.88101,                0.73396,                0.73563,                0.54406,                0.92614,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.83464,                0.71288,                 1.0231,                0.87668,                 0.8161,                 0.8808,                0.73329,                0.73353,                0.54069,                0.92477,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.83272,                0.72708,                 1.0459,                0.87341,                 0.8186,                0.88031,                0.73153,                0.73262,                0.54051,                0.92352,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.83944,                0.73789,                 1.0469,                0.86676,                0.81645,                0.87547,                0.73244,                0.73169,                0.53924,                0.92255,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.83597,                0.71953,                  1.035,                0.84807,                0.82934,                0.87679,                0.73217,                0.73096,                0.53905,                0.92277,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.85467,                0.72104,                  1.039,                0.83024,                0.83778,                0.87661,                0.73201,                0.72998,                0.53876,                0.92288,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.87533,                0.69542,                 1.0297,                0.83162,                0.83743,                0.87669,                0.73248,                0.72819,                0.53702,                0.92267,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.84138,                0.69898,                  1.027,                0.83795,                0.83862,                0.87686,                0.73225,                 0.7262,                0.53721,                0.92181,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.83107,                0.68451,                 1.0365,                0.84267,                0.83148,                 0.8769,                0.73497,                0.72475,                0.53712,                0.92131,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.81308,                0.67481,                 1.0377,                0.84474,                 0.8277,                 0.8747,                0.73671,                0.72186,                0.53586,                0.91988,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.82877,                0.70448,                 1.0275,                0.84272,                0.82674,                0.87653,                0.73571,                0.71931,                 0.5343,                0.91821,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.80577,                0.65624,                  1.027,                0.85323,                0.81819,                0.87601,                0.73722,                0.71741,                0.53311,                0.91725,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.79762,                0.68591,                 1.0254,                0.84784,                0.82486,                0.87707,                0.73786,                  0.717,                 0.5322,                0.91768,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.83114,                 0.6981,                 1.0391,                0.85508,                0.82028,                0.87648,                 0.7371,                0.71585,                0.53008,                0.91743,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.79544,                0.69896,                 1.0286,                0.86054,                0.81515,                0.87822,                0.73917,                0.71388,                0.52712,                 0.9173,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.85258,                0.73113,                 1.0341,                0.86507,                0.81278,                0.87784,                0.73772,                0.71333,                0.52572,                0.91757,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.85487,                0.70899,                 1.0341,                 0.8807,                0.80776,                0.87872,                0.74081,                0.71101,                0.52425,                0.91694,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.87739,                0.73505,                 1.0419,                0.88687,                0.80675,                0.87777,                0.73767,                0.70905,                0.52522,                0.91633,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.80933,                0.69319,                 1.0269,                0.89674,                 0.8056,                 0.8787,                0.73743,                0.70907,                0.52659,                0.91617,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                 0.8287,                0.70132,                 1.0356,                0.90191,                 0.8015,                0.87912,                0.73956,                0.70779,                0.52667,                 0.9154,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.83982,                0.68841,                 1.0312,                0.90475,                0.79814,                0.87892,                0.73842,                0.70769,                0.52564,                0.91454,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.82005,                0.67839,                 1.0383,                0.92031,                0.79089,                0.87976,                0.74178,                0.70621,                 0.5234,                0.91384,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.81081,                0.67193,                 1.0344,                0.92672,                0.79123,                 0.8805,                0.74257,                0.70526,                0.52175,                0.91306,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.83159,                0.69738,                  1.014,                0.92349,                0.79069,                0.87961,                0.74226,                0.70375,                0.51935,                0.91264,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.84756,                0.69524,                 1.0363,                0.92176,                0.79239,                0.88031,                0.74676,                0.70256,                0.51848,                0.91235,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.82401,                0.68932,                 1.0009,                0.91356,                0.80075,                0.87999,                0.74009,                0.70776,                0.52499,                0.91301,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                0.88451,                0.74256,                  1.015,                0.91569,                0.79473,                0.87876,                0.73705,                0.71555,                0.53204,                0.91565,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.90736,                0.79624,                 1.0439,                0.90924,                0.79596,                0.87752,                0.73345,                0.72161,                0.54097,                0.91748,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.87368,                0.74674,                 1.0321,                0.90773,                0.79694,                0.87799,                0.72814,                0.72633,                0.54589,                 0.9192,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.86031,                0.71678,                 1.0237,                0.90974,                0.79494,                0.87793,                0.72698,                0.72981,                0.54901,                0.92012,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.86219,                0.72215,                 1.0173,                0.91047,                0.79581,                0.87694,                0.72449,                 0.7348,                 0.5525,                0.92228,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.81688,                0.68023,                  1.003,                 0.9113,                0.79221,                 0.8769,                0.72463,                0.73581,                0.55332,                 0.9227,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.82664,                0.66147,                 1.0027,                0.91456,                0.79286,                0.87723,                0.72416,                0.73683,                0.55339,                0.92313,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.82785,                0.70832,                 1.0034,                0.91589,                0.79213,                0.87664,                0.72235,                0.73888,                0.55526,                 0.9239,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.85631,                0.71016,                 1.0146,                0.90903,                0.79375,                0.87608,                0.72217,                0.74085,                0.55798,                0.92424,             2.3681e-06,             2.3681e-06,             2.3681e-06
